cluster_id,n,predicados_top,ejemplos,tipo_label
reltype:000,31793,"[[""llevar"", 683], [""se desarrollar en"", 562], [""realizar"", 520], [""aprobar"", 506], [""presentar"", 505], [""expresar"", 498], [""permitir"", 440], [""se realizar en"", 425]]","[""-Renovación de DNI -Rectificación de domicilio -Rectificación del Estado Civil de soltero a casado -Actualizar el PIN de seguridad del DNIe -Copias certificadas de actas/partidas -Certificado de inscripción -Validación de copias certificadas de actas -Devolución por pago de tasas Lee también Mira los colegios de Lima y Callao donde matrícula digital arranca este lunes 19 [cuadros] De acuerdo con la entidad, los usuarios pueden hacer estos trámites mencionados en este enlace ."", ""-Aprueban el Reglamento de Organización y Funciones del OECE En conferencia de prensa, la presidenta ejecutiva del OECE, Mirtha Rázuri Alpiste , indicó que el OECE tiene entre sus funciones reforzar la supervisión, brindar asistencia técnica y el acompañamiento a las entidades contratantes."", ""-Conoce las tasas de interés de préstamos para microempresas más atractivas Según el Instituto de Economía y Desarrollo Empresarial de la Cámara de Comercio de Lima (CCL), las medianas empresas presentan una morosidad de 14%, lo que hace que muchas de ellas no sean consideradas elegibles para un préstamo por parte de los bancos, a pesar de su rol clave en el ecosistema productivo del país.""]",
reltype:001,4278,"[[""participar en"", 3200], [""participar"", 551], [""participar de"", 143], [""participar del"", 87], [""participar por"", 81], [""participar con"", 55], [""participar durante"", 47], [""participar para"", 42]]","[""Además, participaron un representante del Órgano de Control Institucional (OCI) del Minjusdh en calidad de veedor; un representante de la Oficina de Integridad y Lucha contra la Corrupción (OILC) de la cartera; y el oficial de cumplimiento designado por el Pronabi ante la Unidad de Inteligencia Financiera de la Superintendencia de Banca y Seguros (SBS); quienes garantizaron la legalidad y transparencia del proceso."", ""Como parte del sector Defensa , participan como expositores el Ejército, la Marina de Guerra, la Fuerza Aérea, el Instituto Nacional de Defensa Civil, la Agencia Espacial del Perú, el Centro Nacional de Estimación, Prevención y Reducción del Riesgo de Desastres (Cenepred), los Servicios Industriales de la Marina, entre otros."", ""Lee también: Presidenta Boluarte: el gobierno está de lado de quienes cuidan a la ciudadanía En la actividad participaron la Comisión Distrital de Justicia en tu Comunidad, la Oficina Descentralizada de la Autoridad Nacional de Control y las orientadoras judiciales, estas últimas lideresas comunales que han sido capacitadas en temas legales para apoyar a sus vecinos.""]",
reltype:002,2233,"[[""reafirmar"", 730], [""reiterar"", 252], [""reafirmar con"", 178], [""reafirmar en"", 140], [""respaldar a"", 125], [""reafirmar durante"", 69], [""respaldar"", 64], [""reafirmar de"", 59]]","[""Jefe del Gabinete: vamos a devolverle la tranquilidad a la ciudadanía\nEl presidente del Consejo de Ministros, Eduardo Arana, ratificó el compromiso del Ejecutivo de trabajar de manera intensa en favor de la seguridad ciudadana y en la lucha contra la delincuencia y el crimen organizado."", ""Nuestro compromiso es devolverle seguridad a la ciudadanía, estabilidad a la economía y garantías plenas al proceso democrático ”, afirmó el presidente del Consejo de Ministros."", ""Lee también: [ Gobierno del Perú ratifica compromiso ambiental y la promoción de energías ] Más temprano, el jefe del Gabinete , Eduardo Arana , aseguró que d esde el Gobierno se seguirá trabajando para devolverle la tranquilidad a la ciudadanía y tener resultados tangibles contra la delincuencia.""]",
reltype:003,1850,"[[""iniciar"", 366], [""inaugurar"", 214], [""inaugurar en"", 181], [""iniciar en"", 122], [""abrir"", 97], [""iniciar con"", 71], [""inaugurar por"", 56], [""iniciar a"", 37]]","[""Midis abrió procesos penales contra funcionarios vinculados a servicio alimentario escolar\nEl Ministerio de Desarrollo e Inclusión Social (Midis) informó que “se están realizando acciones legales” contra funcionarios del sector relacionados con hechos irregulares en el servicio de alimentación escolar."", ""Lee también: Instituto Nacional de Salud Mental abre las puertas de su biblioteca para la población La ceremonia contó con la participación especial del director de la Casa de la Literatura, Gary Marroquín Mendoza, el sub Gerente de Educación Cultura y Deporte de la Municipalidad Distrital de Chaclacayo, Alex Barboza Janampa, la representante del Ministerio del Ambiente, Jessica Moran Jorquera, representante de la Universidad Tecnológica del Perú (UTP) Antonella Pacheco, la coordinadora docente del Instituto Superior Toulouse Lautrec, Allison Reynel, la directora de Promoción, Organización y Gestión de la Senaju, Fabiola Rojas y el director de la Dirección de Investigación y Desarrollo (DINDES) de la Senaju, Ángel Gallegos."", ""Caficultores peruanos abren oportunidades de negocios por US$ 34 millones en Europa\nCon más de 34 millones de dólares en oportunidades comerciales, la Comisión de Promoción del Perú para la Exportación y el Turismo (Promperú) lideró la participación peruana en el World of Coffee 2025, la feria más importante de cafés especiales de Europa, realizada del 26 al 28 de junio en Ginebra, Suiza.""]",
reltype:004,1644,"[[""se reunir con"", 729], [""organizar por"", 165], [""reunir a"", 156], [""se reunir en"", 139], [""congregar a"", 56], [""organizar"", 56], [""unir"", 30], [""se reunir"", 26]]","[""Reconocen labor de Perú en presidencia del G77 que agrupa a países en desarrollo\nLa presidenta Dina Ercilia Boluarte Zegarra se reunió con la secretaria general de la Conferencia de las Naciones Unidas sobre Comercio y Desarrollo (Unctad), Rebeca Grynspan, y ambas partes destacaron los esfuerzos de nuestro país por buscar resultados que representen a los 134 países miembros del grupo de naciones en vías de desarrollo y subdesarrollo conocido como G77+China."", ""El MAC Ica agrupa a 13 entidades públicas con 109 servicios y trámites, entre ellas el Banco de la Nación, la Superintendencia Nacional de Migraciones, el Registro Nacional de Identificación y Estado Civil, el Seguro Social de Salud, el Poder Judicial, el Instituto Nacional de Defensa de la Competencia y de la Protección de la Propiedad Intelectual, el Jurado Nacional de Elecciones y el Fondo Nacional de Vivienda."", ""El Consejo de las Américas es una organización empresarial que agrupa a compañías internacionales y promueve el desarrollo económico sostenible, los mercados abiertos y el fortalecimiento del Estado de derecho en el hemisferio occidental.""]",
reltype:005,1465,"[[""fortalecer para"", 260], [""fortalecer"", 246], [""reforzar"", 161], [""fortalecer con"", 95], [""fortalecer en"", 92], [""fortalecer a"", 69], [""mejorar para"", 65], [""reforzar para"", 60]]","[""[Lea también: Otass fortalece capacidades técnicas para asegurar calidad del agua potable y saneamiento ] Jóvenes con talento Los cuatro ganadores fueron Isabel Miranda y Richard Castillo, de las carreras de Economía e Ingeniería Mecatrónica, respectivamente, de la Pontificia Universidad Católica del Perú; Jimmy Cjuro, de la carrera de Ingeniería de Software de la Universidad Nacional Mayor de San Marcos; y Carlos Ramírez, de la carrera de Matemáticas de la Universidad Nacional de Ingeniería."", ""El convenio tiene por objeto fortalecer tanto la ONPE como la Superintendencia Nacional de Migraciones , y contribuir al cumplimiento de los objetivos, misiones, políticas o competencias, mediante el desarrollo de acciones conjuntas y el intercambio de información o herramientas informáticas."", ""Fiscal de la Nación: es clave fortalecer la cooperación judicial internacional\nLa fiscal de la Nación, Delia Espinoza, participó en el panel \""Fortalecimiento de la coordinación institucional y operativa entre las fiscalías de los Balcanes Occidentales y Latinoamérica\"", junto a los fiscales generales de Bosnia y Montenegro y el presidente de la Agencia de la Unión Europea para la Cooperación Judicial Penal (Eurojust).""]",
reltype:006,1369,"[[""liderar"", 672], [""liderar por"", 261], [""liderar en"", 238], [""liderar con"", 66], [""liderar desde"", 24], [""liderar ante"", 18], [""liderar a"", 16], [""liderar al"", 16]]","[""En su primera temporada al mando, Mascherano comandó al Inter Miami a una de las campañas más exitosas, en la que logró el primer título de la MLS Cup."", ""\""Una vez concluido y acordado con el Estado peruano, el marco de cooperación constituirá la hoja de ruta estratégica que guiará el trabajo de las Naciones Unidas en Perú, con el propósito de apoyar la implementación de las prioridades nacionales de desarrollo y de los compromisos internacionales asumidos por el país\"" , informó el Sistema de las Naciones Unidas en Perú."", ""Presidenta Boluarte lidera nueva sesión del Consejo de Ministros\nLa presidenta de la república, Dina Boluarte Zegarra, lidera una nueva sesión del Consejo de Ministros con el firme compromiso de dar solución a las principales necesidades de los peruanos y a impulsar el desarrollo nacional.""]",
reltype:007,1345,"[[""impulsar"", 445], [""impulsar en"", 196], [""impulsar para"", 161], [""impulsar con"", 78], [""impulsar por"", 73], [""impulsar a"", 58], [""avanzar en"", 36], [""impulsar de"", 32]]","[""Gobierno avanza en objetivo de fortalecer a la PNP para lucha contra el crimen\nLa presidenta de la República, Dina Ercilia Boluarte Zegarra, lideró hoy la entrega de 700 fusiles de asalto a la Policía Nacional del Perú (PNP), como parte de un lote de 7323 unidades, con el que ratificó su compromiso de fortalecer la institución en la lucha contra la delincuencia y el crimen organizado."", ""El PSG por su parte, avanzó como primero del Grupo B tras golear al Atlético de Madrid (4-0) en su debut, caer ante Botafogo (0-1) y derrotar a Seattle Sounders (2-0)."", ""Gobierno avanza en proteger las fronteras y fortalecer seguridad migratoria con tecnología\nLa presidenta Dina Ercilia Boluarte Zegarra afirmó hoy que su gobierno avanza en el objetivo de reforzar la protección de nuestras fronteras y fortalecer la seguridad migratoria del país, mediante el uso de tecnología.""]",
reltype:008,1097,"[[""ejecutar en"", 170], [""ejecutar"", 149], [""implementar"", 82], [""invocar a"", 74], [""ejecutar por"", 62], [""se ejecutar en"", 61], [""ejecutar con"", 34], [""implementar en"", 33]]","[""En horas de la mañana el aeropuerto Alfredo Rodríguez Ballón , activó su protocolo de emergencia de seguridad , debido a la alerta de objeto sospechoso en la sala de embarque Es así que como parte del protocolo se procedió a restringir las operaciones y a reportar el hecho a la Policía Nacional del Perú."", ""Activan plan de vigilancia y refuerzo de vacunación contra sarampión y fiebre amarilla\nAnte la alerta epidemiológica emitida por el Ministerio de Salud (Minsa) por el riesgo de importación de casos de sarampión al país, el Seguro Social de Salud (EsSalud) activó un plan intensivo de vigilancia epidemiológica y reforzamiento de la vacunación infantil contra esta enfermedad y la fiebre amarilla."", ""“El Ministerio de Salud activó su centro de operaciones de emergencia apenas se detectó el movimiento sísmico, bajo la coordinación del ministro César Vásquez.""]",
reltype:009,980,"[[""continuar"", 203], [""continuar con"", 109], [""mantener"", 97], [""continuar en"", 83], [""continuar de"", 44], [""mantener en"", 44], [""permanecer"", 28], [""permanecer en"", 28]]","[""Su trabajo con fibra de alpaca no solo conserva técnicas ancestrales, sino que también impulsa el desarrollo local y el reconocimiento del tejido como patrimonio cultural vivo."", ""Minam: modelo de cogestión ha permitido conservar 5 millones de ha de reservas comunales\nAlrededor de 5 millones de hectáreas de las reservas comunales en ocho regiones del Perú, que albergan a unos 53,000 compatriotas de 25 pueblos indígenas, han sido conservadas gracias al trabajo conjunto entre el Servicio Nacional de Áreas Naturales Protegidas por el Estado (Sernanp) y las comunidades nativas, sostuvo hoy el ministro del Ambiente, Miguel Espichán Mariñas."", ""Alrededor de 5 millones de hectáreas de las reservas comunales en ocho regiones del Perú, que albergan a unos 53,000 compatriotas de 25 pueblos indígenas, han sido conservadas gracias al trabajo conjunto entre el Servicio Nacional de Áreas Naturales Protegidas por el Estado (Sernanp) y las comunidades nativas, sostuvo hoy el ministro del Ambiente, Miguel Espichán Mariñas.""]",
